position,csinet_w8,csinet_w4,csinet_w2
2.540000000000000000e+02,3.378902329131960869e-05,5.448028095997869968e-04,1.980205066502094269e-03
2.550000000000000000e+02,2.453067463648039848e-05,3.706654242705553770e-04,1.692829886451363564e-03
2.560000000000000000e+02,1.397836422256659716e-05,2.754549204837530851e-04,8.206775528378784657e-04
2.570000000000000000e+02,2.037442209257278591e-05,3.640655777417123318e-04,7.190718897618353367e-04
2.580000000000000000e+02,2.466952901158947498e-05,4.447252722457051277e-04,1.091662910766899586e-03
2.590000000000000000e+02,3.147462120978161693e-05,5.659090820699930191e-04,1.512655406259000301e-03
2.600000000000000000e+02,3.625478711910545826e-05,6.784528959542512894e-04,1.792327733710408211e-03
2.610000000000000000e+02,4.232601349940523505e-05,7.285100291483104229e-04,2.156230155378580093e-03
2.620000000000000000e+02,5.043416967964731157e-05,8.875289349816739559e-04,2.556609455496072769e-03
2.630000000000000000e+02,5.952479477855376899e-05,1.048662816174328327e-03,3.203289117664098740e-03
2.640000000000000000e+02,7.422271301038563251e-05,1.343412790447473526e-03,4.152436275035142899e-03
2.650000000000000000e+02,9.189461707137525082e-05,1.701138564385473728e-03,5.482039880007505417e-03
2.660000000000000000e+02,1.240081182913854718e-04,2.212967025116086006e-03,7.864963263273239136e-03
2.670000000000000000e+02,1.682377769611775875e-04,2.861005952581763268e-03,1.105830259621143341e-02
2.680000000000000000e+02,2.083248691633343697e-04,3.418949665501713753e-03,1.310850866138935089e-02
2.690000000000000000e+02,2.429625164950266480e-04,4.089243244379758835e-03,1.703275553882122040e-02
2.700000000000000000e+02,2.595710102468729019e-04,4.143689293414354324e-03,1.818053238093852997e-02
2.710000000000000000e+02,2.408290893072262406e-04,4.033915232867002487e-03,1.610814593732357025e-02
2.720000000000000000e+02,1.942136877914890647e-04,3.319564741104841232e-03,1.295400131493806839e-02
2.730000000000000000e+02,1.584285637363791466e-04,2.618043916299939156e-03,1.008967030793428421e-02
2.740000000000000000e+02,1.265964529011398554e-04,1.970794517546892166e-03,7.533759344369173050e-03
2.750000000000000000e+02,9.358737588627263904e-05,1.577959279529750347e-03,5.881077144294977188e-03
2.760000000000000000e+02,7.695396197959780693e-05,1.251094276085495949e-03,4.500911571085453033e-03
2.770000000000000000e+02,6.458315328927710652e-05,1.080713002011179924e-03,3.872785251587629318e-03
2.780000000000000000e+02,5.808855348732322454e-05,9.800797561183571815e-04,3.141687484458088875e-03
2.790000000000000000e+02,4.827914744964800775e-05,8.291691192425787449e-04,3.350858576595783234e-03
2.800000000000000000e+02,4.290743527235463262e-05,7.758905994705855846e-04,2.682587131857872009e-03
2.810000000000000000e+02,4.119365985388867557e-05,7.150621968321502209e-04,2.562160138040781021e-03
2.820000000000000000e+02,4.119323057238943875e-05,6.993761053308844566e-04,2.539732726290822029e-03
2.830000000000000000e+02,3.996538362116552889e-05,6.664962274953722954e-04,2.388132270425558090e-03
2.840000000000000000e+02,3.538071905495598912e-05,6.251209997572004795e-04,2.260853536427021027e-03
2.850000000000000000e+02,3.289934102213010192e-05,5.888783489353954792e-04,2.027792157605290413e-03
2.860000000000000000e+02,3.196104080416262150e-05,5.429480806924402714e-04,1.845304854214191437e-03
2.870000000000000000e+02,2.422036777716130018e-05,3.489324008114635944e-04,1.630608574487268925e-03
2.880000000000000000e+02,1.289964893658179790e-05,2.479855320416390896e-04,7.549634319730103016e-04
